SKU,Forecast_Month,Forecasted_Sales
6HSD4J,2022-02,704638.75
6HSD4J,2022-03,576718.0833
6HSD4J,2022-04,446847.1611
6HSD4J,2022-05,576067.9981
6HSD4J,2022-06,533211.0809
6HSD4J,2022-07,518708.7467
7XL27C,2022-02,305783.46
7XL27C,2022-03,282084.23
7XL27C,2022-04,204284.2567
7XL27C,2022-05,264050.6489
7XL27C,2022-06,250139.7119
7XL27C,2022-07,239491.5391
BJ30D6,2022-02,348151.33
BJ30D6,2022-03,289739.63
BJ30D6,2022-04,217292.3767
BJ30D6,2022-05,285061.1122
BJ30D6,2022-06,264031.0396
BJ30D6,2022-07,255461.5095
FJD6B,2022-02,1740273.087
FJD6B,2022-03,1278477.962
FJD6B,2022-04,1006900.5
FJD6B,2022-05,1341883.85
FJD6B,2022-06,1209087.437
FJD6B,2022-07,1185957.262
HK1R6J,2022-02,553178.7767
HK1R6J,2022-03,498829.0856
HK1R6J,2022-04,357453.1274
HK1R6J,2022-05,469820.3299
HK1R6J,2022-06,442034.1809
HK1R6J,2022-07,423102.5461
LHR5LZ,2022-02,277137.3367
LHR5LZ,2022-03,227002.8922
LHR5LZ,2022-04,168046.743
LHR5LZ,2022-05,224062.324
LHR5LZ,2022-06,206370.653
LHR5LZ,2022-07,199493.24
NLDP86,2022-02,400234.44
NLDP86,2022-03,375748.8967
NLDP86,2022-04,262268.6556
NLDP86,2022-05,346083.9974
NLDP86,2022-06,328033.8499
NLDP86,2022-07,312128.8343
SHZ5Y2,2022-02,368418.1033
SHZ5Y2,2022-03,304311.6711
SHZ5Y2,2022-04,224243.2581
SHZ5Y2,2022-05,298991.0109
SHZ5Y2,2022-06,275848.6467
SHZ5Y2,2022-07,266360.9719
VJK56C,2022-02,1039390.217
VJK56C,2022-03,1021091.546
VJK56C,2022-04,717434.4641
VJK56C,2022-05,925972.0754
VJK56C,2022-06,888166.0284
VJK56C,2022-07,843857.5226
Y6HWKQ,2022-02,607379.6333
Y6HWKQ,2022-03,522619.8611
Y6HWKQ,2022-04,388098.2815
Y6HWKQ,2022-05,506032.592
Y6HWKQ,2022-06,472250.2449
Y6HWKQ,2022-07,455460.3728
